doc,claim,true_label,predicted_label,probability
"{'name': 'Pizza Mizza', 'address': '', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Food Delivery Services, Food, Restaurants, Pizza, Italian', 'hours': {'Monday': '11:0-21:0', 'Sunday': '11:0-21:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantsReservations': True, 'OutdoorSeating': True, 'WiFi': 'free', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}}, 'business_stars': 3.5, 'review_info': [{'review_stars': 5.0, 'review_date': '2018-12-02 05:42:56', 'review_text': 'Bummed only delivery now probably my favorite pizza in town everywhere else sucks and are making restaurants you feel like you almost have to dress up for now and over priced including the owners of Pizza Mizza new pizza restaurant on state'}, {'review_stars': 4.0, 'review_date': '2018-11-01 01:16:07', 'review_text': ""This pizza place is pretty average. They have a huge list of different kinds of pizzas, pastas, salads, and more! I recently tried to call an order in to pick up but was told they only do delivery right now so I ended up just doing delivery. I couldn't decide what to order with all of their different choices and sizes! They even have cauliflower and gluten free crust options!\n\nI ended up getting the personal size Hawaiian pizza with a normal crust. It took about an hour to arrive at my house but when I finally got it I was so happy and hungry. The pineapple was fresh, along with the ham and the crust was cooked with the perfect amount of crisp! They also gave me multiple sides of ranch which I was stoked about since most places always never actually bring the ranch when you order it or give you only one.\n\nThey also gave me plates and cheese along with the hot peppers! Overall I had a great experience here getting delivery here and I can't wait to order them again! :)""}, {'review_stars': 3.0, 'review_date': '2018-10-13 00:27:17', 'review_text': ""I always wondered why this place had such average to low rating and after a few times of visiting this place, I can see why. Food is great! I have no complaints over their food. There used to be a Pizza Mizza in Ventura and I remember going there often so when I saw there was one in SB, I had to go give them a try.\n\nAs for customer service here...\nI'm always left wondering if there's anyone in charge here or if any of the front staff even care about their job. This isn't my first time waiting here over 30minutes for food which is beyond ridiculous. I've ordered different things and they all take so long. I don't know if they're just short staffed but this is not acceptable in any restaurant business especially if this is a continuous problem. My boyfriend ordered a sandwich which they left sitting on their rack for 10min while my pasta was nowhere to be seen. I was sick of their tendency to just hang out, have conversations amongst each other, and not care about their hungry customers. I went to the front and asked them if that plate on the rack was for us and they said that it just came out and were waiting for my pasta to come out. That sandwich did NOT JUST come out but obviously they were too busy with their conversations to realize it was there. Whatever, I brought it to my table and we waited another 10 minutes for my pasta. I saw two plates again sitting on the rack for about 5mins and I told myself if none of those are mine, I'm going to leave. Well it turns out none of them were mine and one server who was aware of our situation came to notify us that due to the delay, he had refunded my entire bill. Great. So I'm still hungry. The food is most likely going to take more time. I got my money back. I'm not waiting anymore. So my boyfriend and I left. \n\nThe food is so good that I would've given this place 5 stars but unfortunately, the staff is a big miss. Maybe management should train their staff again or hire people who actually care about their job.""}]}","However, another customer left a three-star review, stating that the staff is unorganized and takes too long to prepare orders, resulting in long wait times.",1,0,0.013208718039095402
"of poverty today—including India, Bangladesh, Nigeria, and Ethiopia—ought to be doing the same things, and we cataloged our finding here.If you have 30 minutes, you could speedread through it.If you have just three minutes, you can get the gist of it from this exchange between World Bank President Jim Kim and CNN’s Richard Quest.If you only have a few seconds, just remember three words: grow, invest, insure. I’ll explain.What really reduces poverty?Figure 1 shows that between 1990 and 2012, poverty rates in East Asia fell from 61 percent to 7 percent, in South Asia from 51 percent to 19 percent, and in sub-Saharan Africa from 57 percent to 43 percent. Because of different rates of population growth, the absolute number of poor people fell by a lot in East Asia, stayed about the same in South Asia, but increased in Africa.What did the East Asians do that was so effective? We know it wasn’t cash transfers and smartphones.To answer this question, we looked at the work done"," Furthermore, focusing on three main areas – grow, invest, and insure – can contribute to reducing poverty .",1,1,0.7555705308914185
"{'name': ""Cabo's Baja Grill & Cantina"", 'address': '5096 Carpinteria Ave', 'city': 'Carpinteria', 'state': 'CA', 'categories': 'Restaurants, Mexican', 'hours': None, 'attributes': {'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'RestaurantsReservations': False, 'OutdoorSeating': True, 'WiFi': 'no', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}}, 'business_stars': 3.0, 'review_info': [{'review_stars': 5.0, 'review_date': '2015-02-23 02:01:38', 'review_text': ""Loving the new restaurant Cielo in Carpinteria! Looks amazing, food was perfect and great prices! Service was five star and the pricing was 2 star but tasted 5 star!!!!! I'll definitely be back :))""}, {'review_stars': 3.0, 'review_date': '2015-02-21 03:27:48', 'review_text': 'CBG is out of business.  It is now Cielo.  There is a full bar, and the menu is a mix of flatbreads, burgers, tex-mex, assorted appetizers.  There is inside and outside seating.  Bar has 8 spaces so get there early.  I did not have a cocktail so I cannot comment on the bartenders mixing skills. Except I did observe the pop rocks martini...hmmm childhood memories ;)\nI had the steak flatbread with onions and cheese.  Crust was paper thin and the steak was good but I was disappointed by a lack of seasoning.  The steak flatbread was overpriced for what you get.  The trip tip plate (tri tip, beans, rice and tortillas ) for 8 dollars looked like a better deal.'}, {'review_stars': 2.0, 'review_date': '2015-02-20 22:15:34', 'review_text': 'Today\'s agenda:  1. Head to Carpinteria  2. Try out the new Cielo\'s restaurant  3. Get food poisoning\n\nTrust me this was NOT the intention.\n\nMy wife and I were so excited when Cielo\'s finally opened it\'s doors to the public after weeks of renovations after the take over of Cabo\'s.  Cabos\' was one of our favorite go to spots for lunch and were hoping that Cielo\'s captured us as a regular the way it\'s predecessor did.\n\nWhen we arrived we did notice the positives. The interior was definitely upgraded as the booths give it a more restaurant ambiance.  The bathrooms were nicely done and very clean.\n\nWe sat in the front patio overlooking Carpinteria Blvd and took our first look at the new menus.  First thing we notice were the prices were about 25% higher than Cabos which is cool if the food warranted that price.  It\'s the standard beach diner fare with a bit of a higher end take on it.  Sliders, burgers, chicken plates, salads, apps, etc.   Were were disappointed at the price of the drinks (house margs were $10) and NO pitchers of margs anymore!  That sucked as that was one of the highlights of Cabos.   \n\nFirst time there we ordered the sliders.  Not bad but not great.  Heavy jalapeno overrode the beefy flavor of the meat.  They had a nice dessert menu and we ordered the carrot cake.  Not bad but the server had no idea where it was sourced from.  \n\nThe 2nd time we came we ordered the 1/4 chicken plate as that was our favorite dish at Cabo\'s.  Nightmare thru and thru.  Our plates arrived and we just looked at each other as the rice was in clumps.  Literally.  The rice and beans were cold to the touch and when we cut into the chicken it was RAW.   Dark pink RAW.  We called over the server and she apologized and took it back.  The same plates were returned with the same pieces of chicken grilled to a near burnt crisp (chefs revenge I\'m guessing) and the rice and beans were still cold.  We called over the server to let her know and one of the owners came over to apologize.   We told her that we REALLY want to like this place as we LOVED Cabo\'s but the standards of the restaurant need to start with the standards in the kitchen and there is just NO care for the food here.  Even the cold beans had no flavor.  I texted my brother that we were here and his reply was ""nice patio...terrible food"".  \n\nAnyway unfortunately unless there are some major changes in the kitchen I\'m never coming back to Cielo\'s.   Post script the only reason I gave it 2 stars instead of 1 was the server was VERY nice and very helpful'}]}",The restaurant has received mixed reviews from customers.,1,0,0.49144232273101807
"and this could mean any of a wide range of services, such as physical therapy, occupational therapy, career counseling, pain management, nutritional planning, and/or emotional counseling. The goal of rehabilitation is to help people regain control over many aspects of their lives and remain as independent as possible. Learn more about cancer rehabilitation.

Learn more about the importance of follow-up care.

Watching for recurrence

One goal of follow-up care is to check for a recurrence, which means that the cancer has come back. Cancer recurs because small areas of cancer cells may remain undetected in the body. Over time, these cells may increase in number until they show up on test results or cause signs or symptoms. During follow-up care, a doctor familiar with your medical history can give you personalized information about your risk of recurrence. Your doctor will ask specific questions about your health. Some people may have blood tests or imaging tests done as part of regular",It is important to closely monitor the patient's progress through regular check-ups and follow-up evaluations to ensure that the treatment plan is effective and to make any necessary adjustments .,1,0,0.3808215260505676
"[1] The presidential birth requirements in the U.S. Constitution require anyone elected to serve as U.S. president or vice president be a ""natural born citizen."" What that means is only those people who are U.S. citizens at birth and did not have to go through the naturalization process are eligible to serve in the highest office in the land. It does not mean that a president must have been born on U.S. soil to serve, even though there has never been a U.S. president born outside one of the 50 U.S. states.

[2] In order to be eligible to serve as president, a person must either have been born on U.S. soil or (if born overseas) to at least one parent who is a citizen. The Framers clearly intended to exclude any chance of foreign influence from the highest administrative position in the federal government.

[3] Though their concerns may now seem archaic, the framers were genuinely afraid of foreign subversion. Among their nightmare scenarios was the prospect of a European noble using his money and influence to sway the Electoral College, take command of the American army, and return the nascent nation to the royalist fold. At the time, several European figures—such as France’s Marquis de Lafayette, a hero of the Revolutionary War—were quite popular in the New World, so the idea wasn’t completely far-fetched.

[4] The framers also took a lesson from Europe, where dynasties constantly schemed against one another. The men who drafted the Constitution were certainly familiar with the tragic example of Poland, where agents from Russia, Prussia, and Austria conspired to install a friendly monarch, Stanislaus II, and subsequently seized upon his weakness and partitioned the country among themselves. Keep in mind, too, that dynasties occasionally shuffled around Europe regardless of national origin; England’s King George I, for example, was a Hanoverian who spoke zero English.", The framers of the U.S. Constitution wanted to ensure that the nation’s highest office was not subject to foreign influence or the machinations of European royal families.,1,1,0.9037566781044006
"{'name': 'Zen Yai Thai Cuisine', 'address': '425 State St', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Thai, Restaurants, American (New), Pop-Up Restaurants, Asian Fusion', 'hours': {'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:45', 'Saturday': '17:0-21:45', 'Sunday': '17:0-21:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'RestaurantsReservations': True, 'OutdoorSeating': None, 'WiFi': 'no', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}}, 'business_stars': 4.0, 'review_info': [{'review_stars': 3.0, 'review_date': '2021-10-16 04:22:16', 'review_text': 'i\'ve been really craving thai food and i\'ve not have thai food in santa barbara. however, everything here is kind of subpar to me sadly (i say this as in i have had better) in a way, everything here is weirdly healthy??? still, i think they have a decent pad thai! their pineapple fried rice was just kind of plain and looks a little sad and not colorful. to be real idk how this stuff is cooked ""authentically"" but there\'s just something off about it. the egg roll was good, just a good ol egg roll. and their papaya salad was also okay! their curry was also okay i think everything was okay and i\'m not mad at it just a little sad\ntheir service is good! the ladies are super cute and they r the reason why i would go back'}, {'review_stars': 5.0, 'review_date': '2021-10-12 15:54:31', 'review_text': ""Excellent food great service. I'm found this place on a whim and so glad I did!\nGo here get the curry and make sure you're able to get a Thai iced tea!\n\nI love a pad thai, but so many places make them so heavy, this was crisp and bright flavored- so good.""}, {'review_stars': 5.0, 'review_date': '2021-08-16 20:07:43', 'review_text': 'Ordered some Pad Woon Sen for takeout in my hotel room,  I must say, the PWS exceeded my expectations.  It was flavorful and a delight with every mouthful.   The glass noodles and vegetables had the  right amount of chew.  It was such a satisfying meal.  Thumbs up to the chef!'}]}","Based on the provided structured data, Zen Yai Thai Cuisine is a local Thai restaurant located in Santa Barbara, California.",1,1,0.9428937435150146
"{'question': 'How do you make ice cream', 'passages': ""passage 1:1 Pour cold ice cream mix into an ice cream maker, turn on the machine, and churn according to manufacturer's directions, 20 to 25 minutes. 2  When ice cream is softly frozen, serve immediately or place a piece of plastic wrap directly on the ice cream and place in freezer to ripen, 2 to 3 hours.\n\npassage 2:1 Stir sugar, cream, and milk into a saucepan over low heat until sugar has dissolved. 2  Heat just until mix is hot and a small ring of foam appears around the edge. 3  Transfer cream mixture to a pourable container such as a large measuring cup. 4  Stir in vanilla extract and chill mix thoroughly, at least 2 hours.\n\npassage 3:Mix your base. It's easy to make a wide variety of ice cream flavors by starting with a good vanilla ice cream base. Cream-based ice cream is a bit icier and lighter than custard-based ice cream. This recipe will make one quart of ice cream, so double it if you want more.\n\n""}","Transfer the cream mixture to a pourable container, stir in vanilla extract, and chill it thoroughly before using it as a base for your desired ice cream flavor.",1,1,0.6355957388877869
"{'name': 'Alchemy Wellness Spa', 'address': '35 W Haley St', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Skin Care, Cafes, Fitness & Instruction, Vegan, Vegetarian, Active Life, Restaurants, Acupuncture, Health & Medical, Massage, Day Spas, Beauty & Spas, Weight Loss Centers, Yoga', 'hours': {'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-18:0', 'Sunday': '9:0-17:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantsReservations': True, 'OutdoorSeating': False, 'WiFi': 'free', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'romantic': False, 'intimate': True, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}}, 'business_stars': 4.0, 'review_info': [{'review_stars': 5.0, 'review_date': '2016-05-02 01:24:48', 'review_text': ""Gorgeous setting for treatments and a cup of tea ~ if you've never tried a float tank before, I highly recommend it! Great way to meditate and relax. I was particularly impressed, however, with the lovely, heart-centered service. When I needed a place to nurse and change my infant I was beyond accommodated and made to feel very welcome. What a lovely experience!""}, {'review_stars': 5.0, 'review_date': '2016-03-22 01:57:02', 'review_text': 'I would highly recommend Danielle for facials to everyone I know. She did a phenomenal job and I came out looking much younger. The entire experience was fabulous from the front counter to the beautiful environment. Great job all thank you very much.'}, {'review_stars': 2.0, 'review_date': '2016-02-23 21:55:03', 'review_text': 'Horrible massage. We came here looking for a great massage and all we got was good decor. The cafe was good (between the two of us, we had coffee, tea, and oatmeal - oatmeal was good but nothing special). \n\nWe had Lizzie who was supposed to ""the best"" massage therapist, but she definitely wasn\'t:\n-The oil she used was cold - not a pleasant surprise to start off the massage.\n-I got ""deep tissue"" ...I had to tell her twice for more pressure - shouldn\'t have to ask for that for a deep tissue massage. Even after asking for more pressure, she didn\'t do it. Come to find out, the person I came with who got a Swedish massage said Lizzie\'s pressure was weak and limp as well! From the way she timidly handled my head and neck to how I could uncomfortably feel her nails in my skin, everything screamed that Lizzie had either never given a massage before or was extremely inexperienced. \n\nSUCH a disappointment considering we were looking forward to a great massage AND considering we paid $135 EACH. Big disappointment.'}]}",It also has a rating of 4.0 stars out of 5.0.,1,0,0.2969997525215149
"{'question': 'what is the normal b natriuretic peptide', 'passages': ""passage 1:A brain natriuretic peptide (BNP) test measures the amount of the BNP hormone in the blood. BNP values tend to increase with age and are higher in women than men.The normal values listed here-called a reference range-are just a guide. brain natriuretic peptide (BNP) test measures the amount of the BNP hormone in the blood. BNP values tend to increase with age and are higher in women than men.\n\npassage 2:The B-type Natriuretic Peptide (BNP) Test is a blood test for heart failure. It measures the level of B-type natriuretic peptide in your blood. Your heart 's ventricles produce extra B-type natriuretic peptide when they can't pump enough blood to meet your body's needs.So if your B-type natriuretic peptide level is high, you probably have heart failure.The higher the levels are at diagnosis, the worse your heart failure is likely to be. The finding of low levels tends to exclude heart failure.o if your B-type natriuretic peptide level is high, you probably have heart failure. The higher the levels are at diagnosis, the worse your heart failure is likely to be. The finding of low levels tends to exclude heart failure.\n\npassage 3:Test Overview. A brain natriuretic peptide (BNP) test measures the amount of the BNP hormone in your blood. BNP is made by your heart and shows how well your heart is working. Normally, only a low amount of BNP is found in your blood.hy It Is Done. The brain natriuretic peptide (BNP) test is used to: 1  Check for heart failure. 2  A doctor may think you have heart failure if you are having problems such as trouble breathing and swelling (edema) in the arms or legs.\n\n""}","However, please note that this answer is based on the limited information provided in the passages, and further clarification or additional information may be required to provide a more accurate answer.",1,0,0.20745675265789032
"{'question': 'how to properly clean your hair', 'passages': ""passage 1:6) Rinse the hair completely and, if the hair is longer, use a wide-tooth comb to remove tangles and smooth the hair. 7) Apply a conditioner in the same manner you applied the shampoo. Allow the conditioner to remain on for a few mintues. 8) Rinse the hair with cool water and comb through it again. 9) Dry the hair with a towel using a patting or stroking motion. Never rub the hair back and forth or in circles with a towel as this will cause damage to the hair.\n\npassage 2:Oh, and a great shampoo feels good, too. Here's how to do it right. 1) First, you'll want to make sure to select the proper shampoo and conditioner for your hair type. 2) While in the shower, make sure your water is warm, but not too hot. Turn the flow down just a bit so you're not splashing all over the place. 3) Thoroughly wet the hair. 4) Apply a bit of shampoo into the palm of your hand (a nickel sized amount is usually just about right) and work it through the hair. If your hair is longer, don't pile it up on your head, instead comb through it with your fingers to reduce tangles.\n\npassage 3:Wrap a towel or pat it gently to soak the water from hair. Avoid rubbing it with a towel to dry it. Wet hair is weak and such frictions can lead to damage, hence handle your hair with proper care to make them beautiful. Use a hair dryer Now use a hair dryer to completely dry your hair.\n\n""}","Ensure your water is warm but not too hot, and thoroughly wet your hair.",1,1,0.9820007681846619
